date       	weekday  	scheduled_time	arrival_time	delay_min	event_type	subject                       	weather	temperature_c	status   	note
2026-07-03  Friday      13:15           13;30           5           lunch       mensa                           cloudy  21              attended
2026-07-03  Friday      16:15           16:18           3           exercise    Mathematica_exercise            cloudy  23              attended
2026-07-06  Monday      14:15           14:53           38          lecture     Mathematica                     cloudy  26              attended
2026-07-07  Tuesday     12:15           12:58           43          lecture     functional_analysis             cloudy  25              attended    Simon
2026-07-08  Wednesday   8:30                            NA          exercise    functional_analysis_exercise    cloudy  17              absent
2026-07-09  Thursday    10:15                           NA          lecture     functional_analysis             cloudy  18              absent
2026-07-10  Friday      16:15           16:15           0           exercise    Mathematica_exercise            sunny   27              attended
2026-07-13  Monday      14:15           14:22           7           lecture     Mathematica                     cloudy  29              attended
2026-07-15  Wednesday   8:30            8:57            27          exercise    functional_analysis_exercise    sunny   21              attended    Simon
2026-07-16  Thursday    10:15                           NA          lecture     functional_analysis             cloudy  24              absent
2026-07-17  Friday      16:15           16:16           1           exercise    Mathematica_exercise            cloudy  27              attended
2026-07-20  Monday      14:15           14:39           24          lecture     Mathematica                     cloudy  19              attended
2026-07-20  Monday      16:00           16:01           1           meeting     project_management              cloudy  20              attended
2026-07-21  Tuesday     12:15                           NA          lecture     functional_analysis             sunny   19              absent
2026-07-23  Thursday    10:15           10:20           5           lecture     functional_analysis             cloudy  17              attended
2026-07-24  Friday      16:15           16:35           20          exercise    Mathematica_exercise            cloudy  22              attended
